ID Magasin,Nom Magasin,Statut,Boucherie,Boulangerie,Caviar,Charcuterie & Traiteur,Pizza,Petits Fours,Number & Letter Cakes,Pâtisserie,"Décoration, Vaisselle Jetable",Plateaux de sushis,Plateaux de fromages,Plateaux de fruits de mer,Rôtisserie,Plateaux de fruits et de légumes,Menus Traiteur,Buffets et Cocktails Dînatoires,Salades
986,Market Nogent sur Seine,Activé,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
987,Market Rozay En Brie,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
988,Market Tournan en Brie,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
989,Market Trilport,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
990,Market Vertus,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
991,Market Lesigny,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
992,Market Coulaines - Paix,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
993,Market Le Mans - Heuze,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
994,Market Le Mans - Sablons,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
995,Market Le Mans - Universite,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
997,Market Orléans - Madeleine,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
998,Market Bethisy,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
999,Market Mouroux,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1000,Market Blere - Tours,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1001,Market Château Renault,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1002,Market Orléans - Olivet,Activé,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1003,Market Tours - La Riche,Désactivé,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
1004,Market Dange Saint Romain,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1005,Market Ouistreham,Activé,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
1006,Market Bourg Achard,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1007,Carrefour Bayonne,Activé,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1
1008,Market Clermont Ferrand - Saint Alyre,Activé,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1009,Market Châteaurenard,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1011,Carrefour Saint Jean de Luz,Activé,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
1012,Market Vaires sur Marne,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1014,Market Libercourt,Désactivé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1015,Market Saint Amand Les Eaux,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1016,Market Valenciennes - Harpignies,Désactivé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1017,Market Wavrin,Désactivé,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1018,Market Marck en Calaisis,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1019,Market Thumeries,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1020,Market Valenciennes - Place d'armes,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1021,Market Erquinghem - Lys,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1022,Market Villeneuve d'Ascq,Désactivé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
1023,Market Aubenas,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1024,Market Porticcio,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1026,Market Alençon - Papin,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1027,Market Rennes - Bourg l'Evêque,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1193,Market Drancy,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1194,Market Draveil,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1196,Market Paris - Italie 2,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1197,Market Reims - Paris,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1198,Market Tremblay En France,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1201,Market Barneville Carteret,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1202,Market Breteuil Sur Iton,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1205,Market Connerré,Activé,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1
1206,Market Courseulles Sur Mer,Activé,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
1207,Market Doudeville,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1208,Market Ducey - Route Nationale 176,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1210,Market Forges-Les-Eaux,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1211,Market La Haye Du Puits,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1212,Market La Loupe,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1214,Market Laval,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1215,Market Mézidon Canon,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1216,Market Nogent Le Roi,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1217,Market Pacy Sur Eure,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1218,Market Parigny,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1219,Market Penestin - Pontcano,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1220,Market Plouagat,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
